"ID","Title","Attachments","Created By","Created On","Estimate","Forecast","Priority","References","Section","Section Depth","Section Description","Suite","Suite ID","Type","Updated By","Updated On"
"C356990","Inventory > View all","","Elena Mutykova","2/20/2023 7:44 AM","","","Medium","","Inventory Section in Main Menu","1","https://virtocommerce.atlassian.net/browse/PT-10606","V3 Inventory","S1505","Other","Elena Mutykova","2/20/2023 1:44 PM"
"C356991","Inventory > Add new FFC","","Elena Mutykova","2/20/2023 7:45 AM","","","Medium","","Inventory Section in Main Menu","1","https://virtocommerce.atlassian.net/browse/PT-10606","V3 Inventory","S1505","Other","Elena Mutykova","2/20/2023 2:37 PM"
"C357011","Inventory > FFC > Add address","","Elena Mutykova","2/20/2023 12:47 PM","","","Medium","","Inventory Section in Main Menu","1","https://virtocommerce.atlassian.net/browse/PT-10606","V3 Inventory","S1505","Other","Elena Mutykova","2/20/2023 1:01 PM"
"C357007","Inventory > Update address","","Elena Mutykova","2/20/2023 12:43 PM","","","Medium","","Inventory Section in Main Menu","1","https://virtocommerce.atlassian.net/browse/PT-10606","V3 Inventory","S1505","Other","Elena Mutykova","2/20/2023 1:15 PM"
"C357015","Inventory > Delete address","","Elena Mutykova","2/20/2023 1:11 PM","","","Medium","","Inventory Section in Main Menu","1","https://virtocommerce.atlassian.net/browse/PT-10606","V3 Inventory","S1505","Other","Elena Mutykova","2/20/2023 1:19 PM"
"C357012","Inventory > Edit FFC > name","","Elena Mutykova","2/20/2023 1:06 PM","","","Medium","","Inventory Section in Main Menu","1","https://virtocommerce.atlassian.net/browse/PT-10606","V3 Inventory","S1505","Other","Elena Mutykova","2/20/2023 1:08 PM"
"C357013","Inventory > Edit FFC > description","","Elena Mutykova","2/20/2023 1:06 PM","","","Medium","","Inventory Section in Main Menu","1","https://virtocommerce.atlassian.net/browse/PT-10606","V3 Inventory","S1505","Other","Elena Mutykova","2/20/2023 1:08 PM"
"C357014","Inventory > Edit FFC > geo location","","Elena Mutykova","2/20/2023 1:06 PM","","","Medium","","Inventory Section in Main Menu","1","https://virtocommerce.atlassian.net/browse/PT-10606","V3 Inventory","S1505","Other","Elena Mutykova","2/20/2023 1:09 PM"
"C356992","Inventory > Search","","Elena Mutykova","2/20/2023 7:45 AM","","","Medium","","Inventory Section in Main Menu","1","https://virtocommerce.atlassian.net/browse/PT-10606","V3 Inventory","S1505","Other","Elena Mutykova","2/20/2023 1:31 PM"
"C357008","Inventory > FFC > Delete","https://virtowayqa.testrail.io/index.php?/attachments/get/1000003698","Elena Mutykova","2/20/2023 12:43 PM","","","Medium","","Inventory Section in Main Menu","1","https://virtocommerce.atlassian.net/browse/PT-10606","V3 Inventory","S1505","Other","Elena Mutykova","2/20/2023 1:40 PM"
"C357009","Inventoy > FFC > Contex menu > Manage","","Elena Mutykova","2/20/2023 12:44 PM","","","Medium","","Inventory Section in Main Menu","1","https://virtocommerce.atlassian.net/browse/PT-10606","V3 Inventory","S1505","Other","Elena Mutykova","2/20/2023 2:58 PM"
"C357010","Inventoy > FFC > Contex menu > Delete","https://virtowayqa.testrail.io/index.php?/attachments/get/1000002081, https://virtowayqa.testrail.io/index.php?/attachments/get/1000004375","Elena Mutykova","2/20/2023 12:45 PM","","","Medium","","Inventory Section in Main Menu","1","https://virtocommerce.atlassian.net/browse/PT-10606","V3 Inventory","S1505","Other","Elena Mutykova","2/20/2023 2:59 PM"
"C357002","Inventory > FFC > Dynamic properties > View","https://virtowayqa.testrail.io/index.php?/attachments/get/1000004087","Elena Mutykova","2/20/2023 8:57 AM","","","Medium","","Dynamic properties for Fulfillment centers","1","https://virtocommerce.atlassian.net/browse/PT-10845","V3 Inventory","S1505","Other","Elena Mutykova","2/20/2023 1:51 PM"
"C357003","Inventory > FFC > Dynamic properties > Add property","","Elena Mutykova","2/20/2023 8:58 AM","","","Medium","","Dynamic properties for Fulfillment centers","1","https://virtocommerce.atlassian.net/browse/PT-10845","V3 Inventory","S1505","Other","Elena Mutykova","2/20/2023 1:59 PM"
"C357005","Inventory > FFC > Dynamic properties > Set value","","Elena Mutykova","2/20/2023 8:58 AM","","","Medium","","Dynamic properties for Fulfillment centers","1","https://virtocommerce.atlassian.net/browse/PT-10845","V3 Inventory","S1505","Other","Elena Mutykova","2/20/2023 2:03 PM"
"C357004","Inventory > FFC > Dynamic properties > Update property","","Elena Mutykova","2/20/2023 8:58 AM","","","Medium","","Dynamic properties for Fulfillment centers","1","https://virtocommerce.atlassian.net/browse/PT-10845","V3 Inventory","S1505","Other","Elena Mutykova","2/20/2023 2:04 PM"
"C357006","Inventory > FFC > Dynamic properties > Delete property","","Elena Mutykova","2/20/2023 8:58 AM","","","Medium","","Dynamic properties for Fulfillment centers","1","https://virtocommerce.atlassian.net/browse/PT-10845","V3 Inventory","S1505","Other","Elena Mutykova","2/20/2023 2:05 PM"
"C201537","Edit """"in stock"""" quantity","","Volha Baban","4/3/2020 8:57 AM","","","Medium","","Inventory management","1","","V3 Inventory","S1505","Other","Volha Baban","4/3/2020 9:55 AM"
"C201538","Order product > in """"stock qty"""" of default FFC decreased","","Volha Baban","4/3/2020 8:59 AM","","","Medium","","Inventory management","1","","V3 Inventory","S1505","Other","Volha Baban","4/3/2020 4:02 PM"
"C201539","Order more items than are available in the FFC","","Volha Baban","4/3/2020 9:00 AM","","","Medium","","Inventory management","1","","V3 Inventory","S1505","Other","Ekaterina Savchenko","5/11/2021 1:36 PM"
"C201540","[VDS-103]Amount of available items = """"in stock"""" qty of default and available FFC","","Volha Baban","4/3/2020 9:15 AM","","","Medium","","Inventory management","1","","V3 Inventory","S1505","Other","Ekaterina Savchenko","5/4/2021 2:51 PM"
"C201541","In stock = 0, item is unavailable to order","","Volha Baban","4/3/2020 9:18 AM","","","Medium","","Inventory management","1","","V3 Inventory","S1505","Other","Volha Baban","4/3/2020 4:03 PM"
"C341053","Add to cart > Update Inventory > Create order","","Daria Ponamareva","5/18/2022 1:46 PM","","","Medium","","Inventory management","1","","V3 Inventory","S1505","Other","Daria Ponamareva","5/18/2022 1:47 PM"
"C199248","Track Inventory = FALSE","","Volha Baban","4/2/2020 7:43 AM","","","Medium","","Catalog > Product","1","","V3 Inventory","S1505","Other","Ekaterina Savchenko","5/11/2021 2:08 PM"
"C199249","Track Inventory = TRUE","","Volha Baban","4/2/2020 7:43 AM","","","Medium","","Catalog > Product","1","","V3 Inventory","S1505","Other","Ekaterina Savchenko","5/11/2021 2:09 PM"
"C204137","Allow Preorder = TRUE, set preorder qty > product can be purchased","","Volha Baban","4/8/2020 2:46 PM","","","Medium","","Pre Order - not implemented","2","NOT IMPLEMENTED
DO NOT TEST
epic for implementation
https://virtocommerce.atlassian.net/browse/VP-4256","V3 Inventory","S1505","Other","Volha Baban","4/8/2020 2:51 PM"
"C204140","Allow Preorder = TRUE, set preorder qty = 0 > product can not be purchased","","Volha Baban","4/8/2020 2:51 PM","","","Medium","","Pre Order - not implemented","2","NOT IMPLEMENTED
DO NOT TEST
epic for implementation
https://virtocommerce.atlassian.net/browse/VP-4256","V3 Inventory","S1505","Other","Volha Baban","4/8/2020 2:52 PM"
"C204141","Allow Preorder = FALSE > product can not be purchased, SOLD OUT","","Volha Baban","4/8/2020 2:52 PM","","","Medium","","Pre Order - not implemented","2","NOT IMPLEMENTED
DO NOT TEST
epic for implementation
https://virtocommerce.atlassian.net/browse/VP-4256","V3 Inventory","S1505","Other","Volha Baban","4/8/2020 2:53 PM"
"C204142","Allow backorder = TRUE, set backorder qty > product can be purchased","","Volha Baban","4/8/2020 2:53 PM","","","Medium","","Back Order - not implemented","2","NOT IMPLEMENTED
DO NOT TEST
epic for implementation
https://virtocommerce.atlassian.net/browse/VP-4256","V3 Inventory","S1505","Other","Volha Baban","4/8/2020 2:54 PM"
"C204143","Allow backorder = TRUE, set backorder qty = 0 > product can not be purchased","","Volha Baban","4/8/2020 2:53 PM","","","Medium","","Back Order - not implemented","2","NOT IMPLEMENTED
DO NOT TEST
epic for implementation
https://virtocommerce.atlassian.net/browse/VP-4256","V3 Inventory","S1505","Other","Volha Baban","4/8/2020 2:54 PM"
"C204144","Allow backorder = FALSE > product can not be purchased, SOLD OUT","","Volha Baban","4/8/2020 2:53 PM","","","Medium","","Back Order - not implemented","2","NOT IMPLEMENTED
DO NOT TEST
epic for implementation
https://virtocommerce.atlassian.net/browse/VP-4256","V3 Inventory","S1505","Other","Volha Baban","4/8/2020 2:55 PM"
"C239730","Access","","Grotem","6/18/2020 8:11 AM","","","Medium","","Inventory","2","","V3 Inventory","S1505","Other","Ekaterina Savchenko","5/11/2021 2:09 PM"
"C239888","Read","","Grotem","6/18/2020 8:37 AM","","","Medium","","Inventory","2","","V3 Inventory","S1505","Other","Grotem","6/18/2020 10:05 AM"
"C239893","Create","","Grotem","6/18/2020 10:06 AM","","","Medium","","Inventory","2","","V3 Inventory","S1505","Other","Elena Mutykova","4/11/2023 12:18 PM"
"C239894","Update","","Grotem","6/18/2020 10:07 AM","","","Medium","","Inventory","2","","V3 Inventory","S1505","Other","Elena Mutykova","4/11/2023 12:20 PM"
"C239895","Delete","","Grotem","6/18/2020 10:09 AM","","","Medium","","Inventory","2","","V3 Inventory","S1505","Other","Grotem","6/18/2020 10:09 AM"
"C239889","Edit","","Grotem","6/18/2020 9:09 AM","","","Medium","","Fulfillment center","2","","V3 Inventory","S1505","Other","Grotem","6/18/2020 9:41 AM"
"C239890","Delete","","Grotem","6/18/2020 9:41 AM","","","Medium","","Fulfillment center","2","","V3 Inventory","S1505","Other","Grotem","6/18/2020 9:41 AM"
"C343329","FFC > General viev","","Julia Viniarskaia","6/28/2022 12:38 PM","","","Medium","","Fulfillment centers (FFC)","1","https://github.com/VirtoCommerce/vc-module-inventory/blob/dev/docs/manage-fullfilment.md

https://virtocommerce.atlassian.net/browse/PT-8007","V3 Inventory","S1505","Other","Julia Viniarskaia","6/28/2022 1:03 PM"
"C343330","FFC > Short discription","","Julia Viniarskaia","6/28/2022 1:05 PM","","","Medium","","Fulfillment centers (FFC)","1","https://github.com/VirtoCommerce/vc-module-inventory/blob/dev/docs/manage-fullfilment.md

https://virtocommerce.atlassian.net/browse/PT-8007","V3 Inventory","S1505","Other","Elena Mutykova","4/10/2023 3:33 PM"
"C200191","Add FFC","","Volha Baban","4/2/2020 8:40 AM","","","Medium","","FFC Management","2","","V3 Inventory","S1505","Other","Elena Mutykova","6/24/2021 7:43 AM"
"C200192","Edit FFC > name","","Volha Baban","4/2/2020 8:41 AM","","","Medium","","FFC Management","2","","V3 Inventory","S1505","Other","Volha Baban","4/2/2020 9:47 AM"
"C200193","Edit FFC > description","","Volha Baban","4/2/2020 8:41 AM","","","Medium","","FFC Management","2","","V3 Inventory","S1505","Other","Volha Baban","4/2/2020 9:52 AM"
"C200194","Edit FFC > geo location","","Volha Baban","4/2/2020 8:41 AM","","","Medium","","FFC Management","2","","V3 Inventory","S1505","Other","Volha Baban","4/2/2020 10:05 AM"
"C200205","Add address","","Volha Baban","4/2/2020 10:07 AM","","","Medium","","FFC Management","2","","V3 Inventory","S1505","Other","Volha Baban","4/2/2020 10:17 AM"
"C200195","Edit FFC > address","","Volha Baban","4/2/2020 8:41 AM","","","Medium","","FFC Management","2","","V3 Inventory","S1505","Other","Volha Baban","4/2/2020 10:21 AM"
"C200207","Delete address","","Volha Baban","4/2/2020 10:21 AM","","","Medium","","FFC Management","2","","V3 Inventory","S1505","Other","Ekaterina Savchenko","5/11/2021 12:51 PM"
"C200198","Search FFC in list view","","Volha Baban","4/2/2020 8:43 AM","","","Medium","","FFC Management","2","","V3 Inventory","S1505","Other","Elena Mutykova","6/24/2021 7:58 AM"
"C200196","Delete FFC on details blade","","Volha Baban","4/2/2020 8:43 AM","","","Medium","","FFC Management","2","","V3 Inventory","S1505","Other","Volha Baban","4/2/2020 10:31 AM"
"C200197","Delete FFC in list view","","Volha Baban","4/2/2020 8:43 AM","","","Medium","","FFC Management","2","","V3 Inventory","S1505","Other","Elena Mutykova","6/24/2021 8:35 AM"
"C327758","Add FFC with outerId via API","","Elena Mutykova","3/9/2022 9:20 AM","","","Medium","","FFC Management","2","","V3 Inventory","S1505","Other","Elena Mutykova","3/9/2022 9:39 AM"
"C327759","Update outerId via API","","Elena Mutykova","3/9/2022 9:21 AM","","","Medium","","FFC Management","2","","V3 Inventory","S1505","Other","Elena Mutykova","3/9/2022 9:39 AM"
"C201535","Set default FFC","","Volha Baban","4/3/2020 8:53 AM","","","Medium","","Store > FFC","2","","V3 Inventory","S1505","Other","Ekaterina Savchenko","5/11/2021 2:09 PM"
"C201536","Set available FFC","","Volha Baban","4/3/2020 8:54 AM","","","Medium","","Store > FFC","2","","V3 Inventory","S1505","Other","Volha Baban","4/3/2020 9:45 AM"
"C204132","Add new FFC","","Volha Baban","4/8/2020 12:31 PM","","","Medium","","Store > FFC","2","","V3 Inventory","S1505","Other","Volha Baban","4/8/2020 12:33 PM"
"C338430","UI > Tool-tips","https://virtowayqa.testrail.io/index.php?/attachments/get/1000004012","Elena Mutykova","4/20/2022 12:41 PM","","","Medium","","Settings - Inventory","1","","V3 Inventory","S1505","Other","Elena Mutykova","4/20/2022 12:42 PM"
"C241979","Settings > Inventory > The page size being used for Export / Import","","Aleksandra Balabanova","7/6/2020 10:20 AM","","","Medium","","General","2","","V3 Inventory","S1505","Functional","Ekaterina Savchenko","5/11/2021 2:09 PM"
"C273551","Settings  > Inventory > Disable Log inventory changes","","Grotem","1/27/2021 10:59 AM","","","Medium","","General","2","","V3 Inventory","S1505","Other","Ekaterina Savchenko","5/11/2021 3:41 PM"
"C273550","Settings  > Inventory > Enable Log inventory changes","","Grotem","1/27/2021 10:58 AM","","","Medium","","General","2","","V3 Inventory","S1505","Other","Grotem","1/27/2021 10:59 AM"
"C241980","Settings > Inventory > Enable event-based indexation for inventory entities","","Aleksandra Balabanova","7/6/2020 10:21 AM","","","Medium","","Search","2","","V3 Inventory","S1505","Functional","Ekaterina Savchenko","5/11/2021 3:41 PM"
"C241981","Settings > Inventory > Disable event-based indexation for inventory entities","","Aleksandra Balabanova","7/6/2020 10:21 AM","","","Medium","","Search","2","","V3 Inventory","S1505","Functional","Aleksandra Balabanova","7/6/2020 1:53 PM"
